grup;identificador;identificador_svy;categoria;codi_resposta;resposta_18;resposta_16;font;enllac_font;any;res_18;esp_18;res_16;esp_16;esp_18_21
Població*;LLENGUA_PRIMERA;LLENGUA_PRIMERA_SVY;Llengua primera;1;Català;Català;;\\10.144.45.101\projectes\Analistes\2. Bases de dades\1. Dades de població\Enquesta d'usos lingüistics\2018;2018;31,27;35,4;31,48;35,71;
Població*;LLENGUA_PRIMERA;LLENGUA_PRIMERA_SVY;Llengua primera;2;Castellà;Castellà;;\\10.144.45.101\projectes\Analistes\2. Bases de dades\1. Dades de població\Enquesta d'usos lingüistics\2018;2018;53,67;56,6;53,33;56,23;
Població*;LLENGUA_PRIMERA;LLENGUA_PRIMERA_SVY;Llengua primera;80;Altres;Altres;;\\10.144.45.101\projectes\Analistes\2. Bases de dades\1. Dades de població\Enquesta d'usos lingüistics\2018;2018;15,06;8;15,19;8,05;
Població*;LLOC_NAIX;LLOC_NAIX_SVY;Lloc de naix;1;Catalunya;Catalunya;Idescat;sol·licitud de dades;2023;57,74;69,74;58,42;70,39;
Població*;LLOC_NAIX;LLOC_NAIX_SVY;Lloc de naix;2;Altres comunitats autònomes;Altres comunitats autònomes;Idescat;sol·licitud de dades;2023;17,3;20,9;16,89;20,38;
Població*;LLOC_NAIX;LLOC_NAIX_SVY;Lloc de naix;5;Fora d'Espanya;Fora d'Espanya;Idescat;sol·licitud de dades;2023;24,96;9,36;24,69;9,23;
Població*;PROVINCIA;PROVINCIA_SVY;Província;8;Barcelona;Barcelona;Idescat;sol·licitud de dades;2023;73,59;74,26;73,57;74,24;
Població*;PROVINCIA;PROVINCIA_SVY;Província;17;Girona;Girona;Idescat;sol·licitud de dades;2023;10,11;9,63;10,12;9,64;
Població*;PROVINCIA;PROVINCIA_SVY;Província;25;Lleida;Lleida;Idescat;sol·licitud de dades;2023;5,65;5,51;5,65;5,5;
Població*;PROVINCIA;PROVINCIA_SVY;Província;43;Tarragona;Tarragona;Idescat;sol·licitud de dades;2023;10,65;10,6;10,66;10,62;
Població*;SEXE;SEXE_SVY;Sexe;1;Masculí;Masculí;Idescat;sol·licitud de dades;2023;48,69;48,13;48,78;48,22;
Població*;SEXE;SEXE_SVY;Sexe;2;Femení;Femení;Idescat;sol·licitud de dades;2023;51,31;51,87;51,22;51,78;
Població*;EDAT_GR;EDAT_GR_SVY;Franges edat;1;18 a 24 anys;16 a 24 anys;Idescat;sol·licitud de dades;2023;9,22;8,88;11,59;11,37;
Població*;EDAT_GR;EDAT_GR_SVY;Franges edat;2;25 a 34 anys;25 a 34 anys;Idescat;sol·licitud de dades;2023;14,32;11,51;13,95;11,19;
Població*;EDAT_GR;EDAT_GR_SVY;Franges edat;3;35 a 49 anys;35 a 49 anys;Idescat;sol·licitud de dades;2023;27,83;25,55;27,1;24,86;
Població*;EDAT_GR;EDAT_GR_SVY;Franges edat;4;50 a 64 anys;50 a 64 anys;Idescat;sol·licitud de dades;2023;25,19;26,91;24,53;26,18;
Població*;EDAT_GR;EDAT_GR_SVY;Franges edat;5;Més 64 anys;Més 64 anys;Idescat;sol·licitud de dades;2023;23,44;27,15;22,83;26,4;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;11;Masculí i 18 a 24 anys;Masculí i 16 a 24 anys;Idescat;sol·licitud de dades;2023;4,8;4,56;6,03;5,84;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;12;Masculí i 25 a 34 anys;Masculí i 25 a 34 anys;Idescat;sol·licitud de dades;2023;7,27;5,86;7,08;5,7;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;13;Masculí i 35 a 49 anys;Masculí i 35 a 49 anys;Idescat;sol·licitud de dades;2023;14,06;12,8;13,69;12,45;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;14;Masculí i 50 a 64 anys;Masculí i 50 a 64 anys;Idescat;sol·licitud de dades;2023;12,48;13,25;12,15;12,88;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;15;Masculí i més 64 anys;Masculí i més 64 anys;Idescat;sol·licitud de dades;2023;10,09;11,66;9,82;11,35;
Població*;SEXE_EDAT_SVY;SEXE_EDAT_SVY;Sexe i franges d'edat;61;Femení i 18 a 24 anys;Femení i 16 a 24 anys;Idescat;sol·licitud de dades;2023;4,43;4,33;5,57;5,54;
