provincia;party;votes;
Barcelona;Nul; 14599;
Barcelona;Blanc;20457;
Barcelona;Censo;4201151;
Barcelona;Altres.partits;90132;
Barcelona;Cs;174124;
Barcelona;CUP;179041;
Barcelona;Catalunya.en.Comu.Podem;452482;
Barcelona;ERC;618909;
Barcelona;Junts.per.Catalunya;343931;
Barcelona;PP;225645;
Barcelona;PSCPSOE;638319;
Barcelona;Vox;184715;
Girona;Nul;2099;
Girona;Blanc;2307;
Girona;Censo;524978;
Girona;Altres.partits;5460;
Girona;Cs;13869;
Girona;CUP;31703;
Girona;Catalunya.en.Comu.Podem;33710;
Girona;ERC;91932;
Girona;Junts.per.Catalunya;88060;
Girona;PP;17449;
Girona;PSCPSOE;52723;
Girona;Vox;18489;
Lleida;Nul;1375;
Lleida;Blanc;1540;
Lleida;Censo;314425;
Lleida;Altres.partits;2252;
Lleida;Cs;7128;
Lleida;CUP;14098;
Lleida;Catalunya.en.Comu.Podem;16337;
Lleida;ERC;65236;
Lleida;Junts.per.Catalunya;46773;
Lleida;PP;14697;
Lleida;PSCPSOE;29983;
Lleida;Vox;9312;
Tarragona;Nul;2669;
Tarragona;Blanc;2715;
Tarragona;Censo;574866;
Tarragona;Altres.partits;6186;
Tarragona;Cs;22814;
Tarragona;CUP;22129;
Tarragona;Catalunya.en.Comu.Podem;46644;
Tarragona;ERC;98782;
Tarragona;Junts.per.Catalunya;51461;
Tarragona;PP;29923;
Tarragona;PSCPSOE;73641;
Tarragona;Vox;31124;
