provincia;party;code;votes
Barcelona;Nul;93;27560
Barcelona;Blanc;94;17194
Barcelona;Censo;8000;4195466
Barcelona;Altres.partits;80;80619
Barcelona;Ciudadanos;6;129889
Barcelona;CUP;10;134265
Barcelona;Catalunya.en.Comu.Podem;22;165304
Barcelona;ERC;3;434685
Barcelona;Junts.per.Catalunya;21;381541
Barcelona;PP;1;86266
Barcelona;PSCPSOE;4;533051
Barcelona;Vox;23;166166
Girona;Nul;93;4866
Girona;Blanc;94;2568
Girona;Censo;8000;531858
Girona;Altres.partits;80;13586
Girona;Ciudadanos;6;8976
Girona;CUP;10;24892
Girona;Catalunya.en.Comu.Podem;22;11165
Girona;ERC;3;60131
Girona;Junts.per.Catalunya;21;90052
Girona;PP;1;5500
Girona;PSCPSOE;4;41845
Girona;Vox;23;16953
Lleida;Nul;93;3111
Lleida;Blanc;94;1940
Lleida;Censo;8000;315297
Lleida;Altres.partits;80;10032
Lleida;Ciudadanos;6;5175
Lleida;CUP;10;11871
Lleida;Catalunya.en.Comu.Podem;22;5189
Lleida;ERC;3;42670
Lleida;Junts.per.Catalunya;21;45029
Lleida;PP;1;5695
Lleida;PSCPSOE;4;24115
Lleida;Vox;23;8876
Tarragona;Nul;93;5893
Tarragona;Blanc;94;2385
Tarragona;Censo;8000;581446
Tarragona;Altres.partits;80;12756
Tarragona;Ciudadanos;6;14566
Tarragona;CUP;10;18896
Tarragona;Catalunya.en.Comu.Podem;22;13687
Tarragona;ERC;3;68095
Tarragona;Junts.per.Catalunya;21;53917
Tarragona;PP;1;11992
Tarragona;PSCPSOE;4;55755
Tarragona;Vox;23;26126
