provincia;party;code;votes
Barcelona;Nul;93;21242
Barcelona;Blanc;94;21059
Barcelona;Censo;8000;4243500
Barcelona;Altres.partits;80;64663
Barcelona;Ciudadanos;6;0
Barcelona;CUP;10;67266
Barcelona;Catalunya.en.Comu.Podem;22;405993
Barcelona;ERC;3;328697
Barcelona;Junts.per.Catalunya;21;258159
Barcelona;PP;1;367519
Barcelona;PSCPSOE;4;952347
Barcelona;Vox;23;201775
Girona;Nul;93;4171
Girona;Blanc;94;2981
Girona;Censo;8000;546370
Girona;Altres.partits;80;8157
Girona;Ciudadanos;6;0
Girona;CUP;10;18229
Girona;Catalunya.en.Comu.Podem;22;35344
Girona;ERC;3;47531
Girona;Junts.per.Catalunya;21;63251
Girona;PP;1;31341
Girona;PSCPSOE;4;93448
Girona;Vox;23;22706
Lleida;Nul;93;2390
Lleida;Blanc;94;2059
Lleida;Censo;8000;317225
Lleida;Altres.partits;80;4238
Lleida;Ciudadanos;6;0
Lleida;CUP;10;5449
Lleida;Catalunya.en.Comu.Podem;22;14561
Lleida;ERC;3;34331
Lleida;Junts.per.Catalunya;21;33228
Lleida;PP;1;23699
Lleida;PSCPSOE;4;54414
Lleida;Vox;23;12560
Tarragona;Nul;93;402
Tarragona;Blanc;94;3168
Tarragona;Censo;8000;596689
Tarragona;Altres.partits;80;7959
Tarragona;Ciudadanos;6;0
Tarragona;CUP;10;8700
Tarragona;Catalunya.en.Comu.Podem;22;41719
Tarragona;ERC;3;55461
Tarragona;Junts.per.Catalunya;21;40791
Tarragona;PP;1;51061
Tarragona;PSCPSOE;4;121126
Tarragona;Vox;23;38039
